Well_ID,UWI,Area,Surf_Latitude,Surf_Longitude,Well_Status_Text,Well_Status_Group,Available_Volume_m3,Legal Subdivisions,Section,Township,Range,Meridian,Crooked_Hole_TF,Deviated_Hole_TF,Horizontal_Hole_TF,Burst_Pressure_psi,Format,STRM,orphan
100/01-01-012-10W4/00,100/01-01-012-10W4,AB,49.96358,-111.2385,Flow GAS,IDLE,6.146235045,1,1,12,10,4,F,F,F,3496.647144,ATS,1-12-10-4,0
100/01-01-013-16W4/00,100/01-01-013-16W4,AB,50.04977,-112.05321,Susp WTR Inj,SUSP,20.64668297,1,1,13,16,4,F,F,F,3853.523985,ATS,1-13-16-4,0
100/01-01-015-08W4/00,100/01-01-015-08W4,AB,50.22382,-110.96908,Susp OIL,SUSP,13.73379951,1,1,15,8,4,F,F,F,3450.842409,ATS,1-15-8-4,0
100/01-01-015-17W4/00,100/01-01-015-17W4,AB,50.22528,-112.2094,Susp OIL,SUSP,21.19848742,1,1,15,17,4,F,F,F,3450.842409,ATS,1-15-17-4,0
100/01-01-016-15W4/00,100/01-01-016-15W4,AB,50.3255,-111.91687,Susp OIL,SUSP,25.30041114,1,1,16,15,4,F,F,T,3505.415991,ATS,1-16-15-4,0
100/01-01-020-20W4/02,100/01-01-020-20W4,AB,50.66148,-112.64026,ABD Zn OIL,ABD,21.32111063,1,1,20,20,4,F,F,F,3450.842409,ATS,1-20-20-4,1
100/01-01-022-05W4/00,100/01-01-022-05W4,AB,50.83358,-110.56301,Susp GAS,SUSP,17.7028392,1,1,22,5,4,F,T,F,3035.000733,ATS,1-22-5-4,0
100/01-01-022-17W4/00,100/01-01-022-17W4,AB,50.83507,-112.22164,Susp OIL,SUSP,17.71138989,1,1,22,17,4,F,T,F,3450.842409,ATS,1-22-17-4,0
100/01-01-025-16W4/04,100/01-01-025-16W4,AB,51.1002,-112.09883,Act Cmgl,IDLE,10.2403048,1,1,25,16,4,F,T,F,3496.647144,ATS,1-25-16-4,0
100/01-01-025-18W4/03,100/01-01-025-18W4,AB,51.10135,-112.38622,Susp OIL,SUSP,11.96412364,1,1,25,18,4,F,T,F,3496.647144,ATS,1-25-18-4,0
100/01-01-029-17W4/02,100/01-01-029-17W4,AB,51.44938,-112.26034,Flow GAS,IDLE,14.60115604,1,1,29,17,4,F,T,F,3496.647144,ATS,1-29-17-4,0
100/01-01-029-28W4/00,100/01-01-029-28W4,AB,51.45784,-113.80692,Susp GAS,SUSP,52.4977324,1,1,29,28,4,F,F,T,5808.225589,ATS,1-29-28-4,0
100/01-01-032-04W5/02,100/01-01-032-04W5,AB,51.70879,-114.42867,Susp GAS,SUSP,26.31286335,1,1,32,4,5,F,T,F,,ATS,1-32-4-5,0
100/01-01-035-06W4/00,100/01-01-035-06W4,AB,51.97118,-110.72395,Susp GAS,SUSP,8.218921988,1,1,35,6,4,F,F,F,3496.647144,ATS,1-35-6-4,0
100/01-01-037-25W4/02,100/01-01-037-25W4,AB,52.14625,-113.43834,Pump GAS,IDLE,26.01144841,1,1,37,25,4,F,F,F,3450.842409,ATS,1-37-25-4,0
100/01-01-038-25W4/02,100/01-01-038-25W4,AB,52.23477,-113.43239,Susp GAS,SUSP,24.677921,1,1,38,25,4,F,T,F,3853.523985,ATS,1-38-25-4,0
100/01-01-039-03W4/02,100/01-01-039-03W4,AB,52.32047,-110.29712,Act Cmgl,IDLE,19.35394552,1,1,39,3,4,F,F,F,3035.000733,ATS,1-39-3-4,0
100/01-01-039-12W5/00,100/01-01-039-12W5,AB,52.3227,-115.59062,Susp GAS,SUSP,27.23704712,1,1,39,12,5,F,T,F,6527.836699,ATS,1-39-12-5,0
100/01-01-040-08W5/00,100/01-01-040-08W5,AB,52.40997,-115.0128,ABD Whip,ABD,37.34529154,1,1,40,8,5,F,F,F,2589.340543,ATS,1-40-8-5,0
100/01-01-044-05W5/00,100/01-01-044-05W5,AB,52.77659,-114.5824,Pump OIL,IDLE,16.88316384,1,1,44,5,5,F,F,T,10190.82389,ATS,1-44-5-5,0
100/01-01-046-13W5/00,100/01-01-046-13W5,AB,52.93404,-115.74755,Susp OIL,SUSP,39.11680397,1,1,46,13,5,F,F,F,,ATS,1-46-13-5,1
100/01-01-046-15W5/00,100/01-01-046-15W5,AB,52.93091,-116.03543,ABD Whip,ABD,58.46157808,1,1,46,15,5,F,T,F,5098.786896,ATS,1-46-15-5,0
100/01-01-047-12W4/00,100/01-01-047-12W4,AB,53.01963,-111.61887,Susp GAS,SUSP,6.956840334,1,1,47,12,4,F,F,F,3237.232868,ATS,1-47-12-4,0
100/01-01-048-04W5/00,100/01-01-048-04W5,AB,53.10694,-114.44365,Pump OIL,IDLE,15.25892569,1,1,48,4,5,F,F,F,3450.842409,ATS,1-48-4-5,0
100/01-01-053-06W4/00,100/01-01-053-06W4,AB,53.5443,-110.74466,Susp BIT OIL,SUSP,13.46955156,1,1,53,6,4,F,F,F,3035.000733,ATS,1-53-6-4,0
100/01-01-054-06W4/02,100/01-01-054-06W4,AB,53.63055,-110.74594,ABD Zn BIT OIL,ABD,13.4074799,1,1,54,6,4,F,F,F,3505.415991,ATS,1-54-6-4,0
100/01-01-056-27W4/02,100/01-01-056-27W4,AB,53.80552,-113.87377,Susp OIL,SUSP,17.75430801,1,1,56,27,4,F,F,F,3450.842409,ATS,1-56-27-4,0
100/01-01-057-20W5/02,100/01-01-057-20W5,AB,53.89229,-116.82812,Act Cmgl,IDLE,53.45611892,1,1,57,20,5,F,F,F,,ATS,1-57-20-5,0
100/01-01-057-25W4/00,100/01-01-057-25W4,AB,53.89276,-113.5738,ABD Zn OIL,ABD,16.0483126,1,1,57,25,4,F,F,F,,ATS,1-57-25-4,0
100/01-01-058-23W4/00,100/01-01-058-23W4,AB,53.98213,-113.28815,Susp OIL,SUSP,7.35085607,1,1,58,23,4,F,F,T,6312.740043,ATS,1-58-23-4,0
100/01-01-059-02W6/00,100/01-01-059-02W6,AB,54.06569,-118.15247,ABD Whip,ABD,49.16075962,1,1,59,2,6,F,F,F,5098.786896,ATS,1-59-2-6,0
100/01-01-059-17W4/00,100/01-01-059-17W4,AB,54.06541,-112.41346,Susp OIL,SUSP,14.62656742,1,1,59,17,4,F,F,T,3505.415991,ATS,1-59-17-4,0
100/01-01-060-18W5/00,100/01-01-060-18W5,AB,54.1692,-116.57769,Susp Shale GAS,SUSP,69.3663284,1,1,60,18,5,F,F,T,6527.836699,ATS,1-60-18-5,0
