Facility Code,Facility Name,Land Location,Township,Range,Meridian,Latitude,Longitude,CAPACITY (MW),ADDRESS,Area
2S,KANANASKIS,25-8-W 5,25,8,5,50.63350955,-115.1391836,,,AB
3E,BRAZEAURUBBERDAM,46-11-W 5,46,11,5,52.9099142,-115.3757592,,,AB
3S,HORSESHOE,25-8-W 5,25,8,5,51.11776635,-115.0357353,,,AB
5S,EASTCALGARY,24-1-W 5,24,1,5,51.08184326,-114.0462146,,,AB
12S,HEARTLAND,56-22-W 4,56,22,4,53.82609,-112.84969,,,AB
13S,DEERLAND - Battle River Power Station,56-20-W 4,56,20,4,52.47032036,-112.1328529,,,AB
14S,DEVON,50-26-W 4,50,26,4,53.30435,-113.37987,,,AB
15S,FORTMACLEOD,9-26-W 4,9,26,4,49.73913,-113.37987,,,AB
17S,BENALTO,38-3-W 5,38,3,5,52.26087,-114.33136,,,AB
19S,WABAMUN - Transalta Sundance Generating Station,53-4-W 5,53,4,5,53.50865502,-114.5565893,,,AB
20S,GHOST,26-6-W 5,26,6,5,51.21889793,-114.707514,,,AB
21S,MARION,52-5-W 5,52,5,5,53.47826,-114.59645,,,AB
28S,WESTBROOKS,18-15-W 4,18,15,4,50.52174,-111.92188,,,AB
29S,CASCADE,26-11-W 5,26,11,5,53.51663463,-116.6043987,,,AB
32S,BARRIER,24-8-W 5,24,8,5,51.03434302,-115.0408955,,,AB
33S,SPRAY,24-11-W 5,24,11,5,51.04348,-115.39171,,,AB
35S,RUNDLE,24-10-W 5,24,10,5,51.04348,-115.25917,,,AB
36S,THREESISTERS,23-10-W 5,23,10,5,50.95652,-115.25917,,,AB
37S,NORTHCALDER,53-25-W 4,53,25,4,53.56522,-113.24732,,,AB
38S,EASTEDMONTON,52-23-W 4,52,23,4,53.47826,-112.98223,,,AB
39S,BICKERDIKE,52-18-W 5,52,18,5,53.47826,-116.31952,,,AB
40S,WETASKIWIN,46-24-W 4,46,24,4,52.95652,-113.11478,,,AB
42S,SARCEE,24-2-W 5,24,2,5,51.04348,-114.19882,,,AB
43S,JUMPINGPOUNDJUNCTION,25-6-W 5,25,6,5,51.13043,-114.72899,,,AB
44S,BEARSPAWPLANT,25-2-W 5,25,2,5,51.10127037,-114.2822274,,,AB
45S,BRETONA,52-23-W 4,52,23,4,53.47826,-112.98223,,,AB
48S,POCATERRA,20-9-W 5,20,9,5,50.69565,-115.12662,,,AB
49S,INTERLAKES,19-9-W 5,19,9,5,50.6087,-115.12662,,,AB
51S,WAINWRIGHT,45-7-W 4,45,7,4,52.86957,-110.86153,,,AB
54S,FORTSASKATCHEWAN,54-22-W 4,54,22,4,53.65217,-112.84969,,,AB
55S,OLDS,33-2-W 5,33,2,5,51.82609,-114.19882,,,AB
56S,BOYLE,64-19-W 4,64,19,4,54.52174,-112.45206,,,AB
58S,EDSON,53-17-W 5,53,17,5,53.56522,-116.18697,,,AB
59S,PEIGAN - Wind Turbine,8-27-W 4,8,27,4,49.65217,-113.51241,,,AB
61S,LODGEPOLE,48-9-W 5,48,9,5,53.13043,-115.12662,,,AB
62S,BRAZEAU,45-10-W 5,45,10,5,52.86957,-115.25917,,,AB
63S,REDDEER,38-28-W 4,38,28,4,52.26087,-113.64495,,,AB
64S,EASTCROSSFIELD,28-28-W 4,28,28,4,51.43123683,-113.8369501,,,AB
65S,HIGHRIVER,19-29-W 4,19,29,4,50.6087,-113.7775,,,AB
67S,STIRLING,6-19-W 4,6,19,4,49.47826,-112.45206,,,AB
68S,WILLESDENGREEN,42-8-W 5,42,8,5,52.6087,-114.99408,,,AB
69S,NORTHBARRHEAD,60-4-W 5,60,4,5,54.17391,-114.4639,,,AB
71S,LAMOUREUX,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
72S,LEISMER,77-8-W 4,77,8,4,55.65217,-110.99408,,,AB
74S,JANET,23-28-W 4,23,28,4,51.00746266,-113.8908437,,,AB
77S,SAGITAWAH,59-11-W 5,59,11,5,54.08696,-115.39171,,,AB
83S,TABER - Permanently Closed,10-16-W 4,10,16,4,49.82609,-112.05443,,,AB
86S,BIGSTONE,47-24-W 4,47,24,4,53.04348,-113.11478,,,AB
87S,GAETZ,38-27-W 4,38,27,4,52.26087,-113.51241,,,AB
89S,ELLERSLIE,51-24-W 4,51,24,4,53.43390222,-113.459638,,,AB
92S,VISCOUNT,54-25-W 4,54,25,4,53.65217,-113.24732,,,AB
